Generic               ,NfsA_buffer E_0p1mm#003001.gen,,,,,
Date                  ,2018-11-26T20:14:00,,,,,
Low Wavelength        ,180,,,,,
High Wavelength       ,300,,,,,
Interval (nm)         ,0.2,,,,,
Machine               ,J715,,,,,
Smoothing window      ,31,,,,,
Units                 ,mdeg,,,,,
Zeroed between        ,263,300,,,,
Baselines             ,blank_buffer E_0p1mm#004001.txt::blank_buffer E_0p1mm#004002.txt::blank_buffer E_0p1mm#004003.txt::blank_buffer E_0p1mm#004004.txt::blank_buffer E_0p1mm#004005.txt,,,,,
Samples               ,NfsA_buffer E_0p1mm#003001.txt::NfsA_buffer E_0p1mm#003002.txt::NfsA_buffer E_0p1mm#003003.txt::NfsA_buffer E_0p1mm#003004.txt::NfsA_buffer E_0p1mm#003005.txt,,,,,
300,-9.34497E-02,2.40065E+02,-9.34497E-02,8.84E-02,7.66231E-02,3.66207E-02
299.8,-1.41558E-01,2.40083E+02,-1.41558E-01,1.022E-01,5.73612E-02,6.71225E-02
299.6,-1.46226E-01,2.401E+02,-1.46226E-01,1.01E-01,5.31908E-02,1.01741E-01
299.4,-1.11496E-01,2.40119E+02,-1.11496E-01,1.022E-01,8.89531E-02,1.22238E-01
299.2,-5.91817E-02,2.40166E+02,-5.91817E-02,1.068E-01,9.58242E-02,1.21473E-01
299,-4.40077E-02,2.40191E+02,-4.40077E-02,1.058E-01,7.90348E-02,1.17646E-01
298.8,-1.89737E-02,2.40225E+02,-1.89737E-02,9.92E-02,7.40449E-02,1.28367E-01
298.6,-1.62417E-02,2.40271E+02,-1.62417E-02,9.58E-02,7.0731E-02,1.38135E-01
298.4,-4.04197E-02,2.40311E+02,-4.04197E-02,9.94E-02,5.34089E-02,1.03028E-01
298.2,-4.33817E-02,2.40354E+02,-4.33817E-02,8.98E-02,5.91028E-02,7.38892E-02
298,-8.36517E-02,2.40396E+02,-8.36517E-02,9.34E-02,6.53742E-02,5.01168E-02
297.8,-9.71577E-02,2.40432E+02,-9.71577E-02,1.008E-01,8.41177E-02,5.6762E-02
297.6,-9.40077E-02,2.40475E+02,-9.40077E-02,1.012E-01,8.15266E-02,5.0806E-02
297.4,-1.11234E-01,2.40517E+02,-1.11234E-01,1.072E-01,8.39963E-02,5.61128E-02
