Wavelength,Smoothed Spectrum,Error
300,-9.34497E-02,7.66231E-02
299.8,-1.41558E-01,5.73612E-02
299.6,-1.46226E-01,5.31908E-02
299.4,-1.11496E-01,8.89531E-02
299.2,-5.91817E-02,9.58242E-02
299,-4.40077E-02,7.90348E-02
298.8,-1.89737E-02,7.40449E-02
298.6,-1.62417E-02,7.0731E-02
298.4,-4.04197E-02,5.34089E-02
298.2,-4.33817E-02,5.91028E-02
298,-8.36517E-02,6.53742E-02
297.8,-9.71577E-02,8.41177E-02
297.6,-9.40077E-02,8.15266E-02
297.4,-1.11234E-01,8.39963E-02
297.2,-1.19984E-01,7.86773E-02
297,-5.83228E-02,9.78659E-02
296.8,-5.7718E-02,9.49137E-02
296.6,-6.26787E-02,8.69745E-02
296.4,-6.94713E-02,9.94413E-02
296.2,-7.43881E-02,1.30618E-01
296,-7.72889E-02,1.18534E-01
295.8,-8.04411E-02,9.02061E-02
295.6,-8.33141E-02,8.67981E-02
295.4,-8.54464E-02,6.24429E-02
295.2,-8.85346E-02,9.61447E-02
295,-9.04259E-02,9.66438E-02
294.8,-9.0246E-02,6.58529E-02
294.6,-9.07714E-02,1.17867E-01
294.4,-9.01854E-02,1.00542E-01
294.2,-9.19562E-02,1.03544E-01
294,-9.46437E-02,9.80412E-02
293.8,-9.94921E-02,8.00819E-02
293.6,-1.05936E-01,9.15273E-02
293.4,-1.08009E-01,8.62847E-02
293.2,-1.08491E-01,4.69715E-02
293,-1.05252E-01,6.09297E-02
292.8,-1.00744E-01,7.49377E-02
292.6,-9.1821E-02,8.40598E-02
292.4,-7.81257E-02,9.14742E-02
292.2,-6.207E-02,9.18793E-02
292,-4.3512E-02,9.52973E-02
291.8,-2.71799E-02,1.07053E-01
291.6,-1.68383E-02,9.71484E-02
291.4,-1.13395E-02,9.57046E-02
291.2,-1.01498E-02,7.88557E-02
291,-1.07874E-02,6.80942E-02
290.8,-8.25181E-03,4.55699E-02
290.6,-4.25911E-03,2.66769E-02
290.4,2.17948E-03,5.76139E-02
290.2,7.32395E-03,2.91137E-02
290,8.62208E-03,5.40339E-02
289.8,4.61208E-03,9.25868E-02
289.6,-1.37371E-03,3.93778E-02
289.4,-8.45444E-03,6.05568E-02
289.2,-1.69609E-02,1.02798E-01
289,-2.34187E-02,1.27854E-01
288.8,-2.87623E-02,1.36433E-01
